(1, boss, dA h8 h9 hA s7 s8 s9 cK dB sB)
(2, Bot, d7 d8 d10 sQ sA c8 c9 cQ c10 hB)
(3, Bot, d9 dQ dK h7 hQ hK sK s10 c7 cA)
(1, h, dA h8 h9 h10 hA s8 s9 dB sB cB)
[Play(pid=1, card=dA), Play(pid=2, card=d7), Play(pid=3, card=d9)]
[Play(pid=1, card=s8), Play(pid=2, card=sA), Play(pid=3, card=s10)]
[Play(pid=2, card=cQ), Play(pid=3, card=cA), Play(pid=1, card=hA)]
[Play(pid=1, card=s9), Play(pid=2, card=sQ), Play(pid=3, card=sK)]
[Play(pid=3, card=dQ), Play(pid=1, card=dB), Play(pid=2, card=d10)]
[Play(pid=1, card=sB), Play(pid=2, card=hB), Play(pid=3, card=hQ)]
[Play(pid=1, card=cB), Play(pid=2, card=d8), Play(pid=3, card=h7)]
[Play(pid=1, card=h10), Play(pid=2, card=c9), Play(pid=3, card=hK)]
[Play(pid=1, card=h9), Play(pid=2, card=c8), Play(pid=3, card=dK)]
[Play(pid=1, card=h8), Play(pid=2, card=c10), Play(pid=3, card=c7)]
